TableName	Actflag	Created	Changed	BochgID	RelEventID	SecID	ISIN	EffectiveDate	OldOutValue	NewOutValue	EventType	OldOutDate	NewOutDate	Notes
BOCHG	I	2013/04/15	2013/04/15	724296	1104888	2561477	JP1023031B40	2013/04/15	2947935.00000		REDEM	2011/04/15	2013/04/15	
BOCHG	I	2013/05/15	2013/05/15	738161	1129398	2650758	JP1023041B55	2013/05/15	2949469.00000		REDEM	2011/05/16	2013/05/15	
BOCHG	I	2011/12/14	2011/12/14	458473		2745646	JP1023051B60	2011/06/16	2599300.00000	2946400.00000	CORR	2011/06/15	2011/06/15	
BOCHG	I	2013/06/15	2013/06/15	753215	1151013	2745646	JP1023051B60	2013/06/15	2946400.00000		REDEM	2011/06/15	2013/06/15	
BOCHG	I	2013/07/15	2013/07/15	768856	1172147	2798290	JP1023061B76	2013/07/15	2599461.00000		REDEM	2011/07/15	2013/07/15	
BOCHG	I	2013/08/15	2013/08/15	784586	1192097	2901744	JP1023071B82	2013/08/15	2983537.00000		REDEM	2011/08/15	2013/08/15	
BOCHG	I	2013/09/16	2013/09/16	797634	1212750	3025276	JP1023081B98	2013/09/15	2599266.00000		REDEM	2011/09/15	2013/09/15	
BOCHG	I	2013/10/15	2013/10/15	813810	1229013	3132004	JP1023091BA6	2013/10/15	2431868.00000		REDEM	2011/10/17	2013/10/15	
BOCHG	I	2013/11/15	2013/11/15	828063	1248105	3258442	JP1023101BB1	2013/11/15	2952276.00000		REDEM	2011/11/15	2013/11/15	
BOCHG	I	2013/12/16	2013/12/16	843771	1266639	3330328	JP1023111BC8	2013/12/15	5270728.00000		REDEM	2012/03/30	2013/12/15	
BOCHG	I	2014/01/15	2014/01/15	859288	1286168	3403747	JP1023121C16	2014/01/15	3032417.00000		REDEM	2012/01/16	2014/01/15	
BOCHG	I	2012/02/17	2012/02/17	483941		3513193	JP1023131C22	2012/02/16	2968100.00000	2970499.00000	CORR	2012/02/15	2012/02/15	
BOCHG	I	2014/02/15	2014/02/15	875102	1306966	3513193	JP1023131C22	2014/02/15	2970499.00000		REDEM	2012/02/15	2014/02/15	
BOCHG	I	2014/03/17	2014/03/17	889127	1325274	3601651	JP1023141C38	2014/03/15	2697100.00000		REDEM	2012/03/15	2014/03/15	
BOCHG	I	2014/04/11	2014/04/11	904260		3705632	JP1023151C43	2014/03/31	2815000.00000	2826725.45000	CORR	2012/04/16	2014/03/31	
BOCHG	I	2014/04/15	2014/04/15	905914	1344532	3705632	JP1023151C43	2014/04/15	2826725.45000		REDEM	2014/03/31	2014/04/15	
BOCHG	I	2014/04/11	2014/04/11	904262		3763380	JP1023161C58	2014/03/31	2910679.00000	2920988.30000	CORR	2012/05/15	2014/03/31	
BOCHG	I	2014/05/15	2014/05/15	920528	1362471	3763380	JP1023161C58	2014/05/15	2920988.30000		REDEM	2014/03/31	2014/05/15	
BOCHG	D	2012/06/16	2012/07/19	540457		3840977	JP1023171C64	2012/06/16	2699321.00000	2850421.00000	CORR	2012/06/15	2012/06/15	
BOCHG	D	2012/07/19	2012/07/20	589899		3840977	JP1023171C64	2012/06/16	2699321.00000	2850421.00000	CORR	2012/06/15	2012/06/16	
BOCHG	I	2012/07/20	2012/07/20	590441		3840977	JP1023171C64	2012/06/16	2699321.00000	2850421.00000	CORR	2012/06/15	2012/06/15	
BOCHG	I	2014/04/11	2014/04/11	904265		3840977	JP1023171C64	2014/03/31	2850421.00000	2863501.60000	CORR	2012/06/15	2014/03/31	
BOCHG	I	2014/06/16	2014/06/16	939392	1381154	3840977	JP1023171C64	2014/06/15	2863501.60000		REDEM	2014/03/31	2014/06/15	
BOCHG	I	2012/09/08	2012/09/08	612692		3862898	JP1023181C70	2012/07/18	2698988.00000	2952788.00000	CORR	2012/07/17	2012/07/17	
BOCHG	I	2014/04/11	2014/04/11	904267		3862898	JP1023181C70	2014/03/31	2952788.00000	2969739.85000	CORR	2012/07/17	2014/03/31	
BOCHG	I	2014/07/15	2014/07/15	959074	1403205	3862898	JP1023181C70	2014/07/15	2969739.85000		REDEM	2014/03/31	2014/07/15	
BOCHG	I	2014/04/11	2014/04/11	904269		3882194	JP1023191C86	2014/03/31	2841965.00000	2857457.85000	CORR	2012/08/15	2014/03/31	
BOCHG	I	2014/08/15	2014/08/15	978121	1425004	3882194	JP1023191C86	2014/08/15	2857457.85000		REDEM	2014/03/31	2014/08/15	
BOCHG	I	2014/04/11	2014/04/11	904274		3893510	JP1023201C92	2014/03/31	2707181.00000	2725348.50000	CORR	2012/09/18	2014/03/31	
BOCHG	I	2014/09/15	2014/09/15	993142	1446069	3893510	JP1023201C92	2014/09/15	2725348.50000		REDEM	2014/03/31	2014/09/15	
BOCHG	I	2014/04/11	2014/04/11	904278		3908582	JP1023211CA8	2014/03/31	2744409.00000	2761208.60000	CORR	2012/10/15	2014/03/31	
BOCHG	I	2014/10/15	2014/10/15	1010060	1465245	3908582	JP1023211CA8	2014/10/15	2761208.60000		REDEM	2014/03/31	2014/10/15	
BOCHG	I	2014/04/11	2014/04/11	904282		3924186	JP1023221CB5	2014/03/31	2702637.00000	2714027.50000	CORR	2012/11/15	2014/03/31	
BOCHG	I	2014/11/15	2014/11/15	1027655	1484367	3924186	JP1023221CB5	2014/11/15	2714027.50000		REDEM	2014/03/31	2014/11/15	
BOCHG	I	2014/04/11	2014/04/11	904311		3940756	JP1023231CC2	2014/03/31	2771579.00000	2784524.95000	CORR	2012/12/17	2014/03/31	
BOCHG	I	2014/12/15	2014/12/15	1045672	1503961	3940756	JP1023231CC2	2014/12/15	2784524.95000		REDEM	2014/03/31	2014/12/15	
BOCHG	I	2014/04/11	2014/04/11	904313		3955514	JP1023241D10	2014/03/31	2743838.00000	2759700.75000	CORR	2013/01/15	2014/03/31	
BOCHG	I	2015/01/15	2015/01/15	1065438	1525036	3955514	JP1023241D10	2015/01/15	2759700.75000		REDEM	2014/03/31	2015/01/15	
BOCHG	I	2014/04/11	2014/04/11	904315		3975675	JP1023251D25	2014/03/31	3102704.00000	3113428.35000	CORR	2013/02/15	2014/03/31	
BOCHG	I	2015/02/16	2015/02/16	1085034	1546995	3975675	JP1023251D25	2015/02/15	3113428.35000		REDEM	2014/03/31	2015/02/15	
BOCHG	I	2015/03/16	2015/03/16	1104202	1567920	3992238	JP1023261D31	2015/03/15	2698988.00000		REDEM	2013/03/15	2015/03/15	
BOCHG	I	2014/05/07	2014/05/07	916614		4010923	JP1023271D47	2014/04/22	3094805.00000	3108682.15000	CORR	2013/04/15	2014/04/22	
BOCHG	I	2014/05/07	2014/05/07	916616		4030360	JP1023281D52	2014/04/22	3028127.00000	3040512.50000	CORR	2013/05/15	2014/04/22	
BOCHG	I	2014/05/07	2014/05/07	916617		4051172	JP1023291D68	2014/04/22	3153471.00000	3169736.75000	CORR	2013/06/17	2014/04/22	
BOCHG	I	2014/05/07	2014/05/07	916618		4066372	JP1023301D74	2014/04/22	3048130.00000	3065530.10000	CORR	2013/07/16	2014/04/22	
BOCHG	I	2014/05/07	2014/05/07	916619		4085657	JP1023311D80	2014/04/22	3117360.00000	3129478.60000	CORR	2013/08/15	2014/04/22	
BOCHG	I	2014/05/07	2014/05/07	916622		4100938	JP1023321D96	2014/04/22	3030007.00000	3042492.25000	CORR	2013/09/17	2014/04/22	
BOCHG	I	2014/05/07	2014/05/07	916623		4118232	JP1023331DA2	2014/04/22	2899390.00000	2911115.65000	CORR	2013/10/15	2014/04/22	
BOCHG	I	2014/05/07	2014/05/07	916678		4135303	JP1023341DB9	2014/04/22	2899365.00000	2907506.35000	CORR	2013/11/15	2014/04/22	
BOCHG	I	2014/05/07	2014/05/07	916679		4152216	JP1023351DC6	2014/04/22	2981806.00000	2991139.10000	CORR	2013/12/16	2014/04/22	
BOCHG	I	2015/04/10	2015/04/10	1123718		4152216	JP1023351DC6	2015/04/08	2991139.10000	2990939.10000	CORR	2014/04/22	2015/04/08	
BOCHG	I	2014/05/07	2014/05/07	916680		4166707	JP1023361E13	2014/04/22	2899022.00000	2909624.30000	CORR	2014/01/15	2014/04/22	
BOCHG	I	2014/05/07	2014/05/07	916681		4191935	JP1023371E29	2014/04/22	2899015.00000	2906018.30000	CORR	2014/02/17	2014/04/22	
BOCHG	I	2014/05/23	2014/05/23	925427		4213224	JP1023381E35	2014/05/22	2994486.00000	3003945.30000	CORR	2014/03/17	2014/05/22	
BOCHG	I	2014/06/26	2014/06/26	946364		4232583	JP1023391E41	2014/06/24	2715570.00000	2724219.70000	CORR	2014/04/15	2014/06/24	
BOCHG	I	2014/08/06	2014/08/06	973288		4254774	JP1023401E56	2014/08/05	2837475.00000	2846688.65000	CORR	2014/05/15	2014/08/05	
BOCHG	I	2014/09/27	2014/09/27	1000025		4278739	JP1023411E62	2014/08/21	2699283.00000	2708724.80000	CORR	2014/06/16	2014/08/21	
BOCHG	I	2014/09/27	2014/09/27	1000039		4297589	JP1023421E78	2014/09/25	3067008.00000	3078619.70000	CORR	2014/07/15	2014/09/25	
BOCHG	I	2014/10/17	2014/10/17	1011580		4318434	JP1023431E84	2014/10/16	2785752.00000	2793834.10000	CORR	2014/08/15	2014/10/16	
BOCHG	I	2015/02/27	2015/02/27	1093567		4358051	JP1023451EA6	2014/12/19	2699667.00000	2708815.80000	CORR	2014/10/15	2014/12/19	
BOCHG	I	2015/03/31	2015/03/31	1116062		4455020	JP1023501F39	2015/03/24	2699350.00000	2698600.00000	CORR	2015/03/16	2015/03/24	
BOCHG	I	2009/10/19	2009/10/19	187736		719826	JP10506116C4	2009/10/19	2194.98200	5345377.00000	CORR	2006/12/25	2009/10/19	
BOCHG	I	2010/09/28	2010/09/28	302636		719826	JP10506116C4	2010/06/30	5345377.00000	5345400.00000	CORR	2009/10/19	2010/06/30	
BOCHG	I	2011/12/20	2011/12/20	460924		719826	JP10506116C4	2011/12/20	5345400.00000		REDEM	2010/06/30	2011/12/20	
BOCHG	I	2009/10/19	2009/10/19	187735		714604	JP1050621711	2009/10/19	2186.57700	2657977.00000	CORR	2007/01/30	2009/10/19	
